Set	Azimutal	Elevation	Time	Error_Time	Concentration	Error_Concentration	SCD	Error_SCD	Shift	Error_Shift	Squeeze	Error_Squeeze
5	120	0	0 days 08:23:35	0 days 00:00:01	-1.83772e+29	3.0936799999999997e+28	-2.2052699999999998e+33	3.71241e+26	500000.0	2903.86	-1000.0	7.63168
5	120	15	0 days 08:23:53	0 days 00:00:01	-3.9142399999999998e+28	2.3596999999999996e+28	-4.69709e+32	2.83164e+26	500000.0	10399.0	-1000.0	27.3297
5	120	30	0 days 08:24:41	0 days 00:00:01	-1.93073e+29	3.0456899999999998e+28	-2.31689e+33	3.65484e+26	500000.0	2721.1	-1000.0	7.15135
5	120	60	0 days 08:24:59	0 days 00:00:01	-4.92376e+28	3.3021899999999997e+28	-5.90851e+32	3.96262e+26	500000.0	11568.7	-1000.0	30.4039
5	120	75	0 days 08:25:47	0 days 00:00:01	-7.35675e+28	2.6400499999999996e+28	-8.8281e+32	3.16806e+26	500000.0	6190.24	-1000.0	16.2687
5	120	90	0 days 08:26:05	0 days 00:00:01	-3.99771e+28	3.5571799999999995e+28	-4.79725e+32	4.26861e+26	500000.0	15348.8	-1000.0	40.3385
5	150	0	0 days 08:23:41	0 days 00:00:01	-4.741799999999999e+28	2.09864e+28	-5.69016e+32	2.51837e+26	500000.0	7634.42	-1000.0	20.0641
5	150	15	0 days 08:23:47	0 days 00:00:01	2.9201999999999997e+28	2.4546499999999997e+28	3.50424e+32	2.94559e+26	500000.0	14499.7	-1000.0	38.1068
5	150	30	0 days 08:24:47	0 days 00:00:01	-1.4163e+29	2.5890299999999996e+28	-1.6995599999999998e+33	3.10683e+26	500000.0	3153.27	-1000.0	8.28716
5	150	60	0 days 08:24:53	0 days 00:00:01	-2.44978e+28	3.8614899999999997e+28	-2.93974e+32	4.63379e+26	500000.0	27190.0	-1000.0	71.4583
5	150	75	0 days 08:25:53	0 days 00:00:01	-9.057109999999999e+28	2.79173e+28	-1.08685e+33	3.35008e+26	500000.0	5316.99	-1000.0	13.9736
